Unnamed: 0,id,text,user_name,user_description,user_location,user_following,user_followers,tweets_by_user,user_created_at,tweet_created,retweets,likes,hashtags,media,search_term,emojis,sentiments_list,revised_sentiment,distillbert_valence
253238,1359761049776513025,@richardpoliver @cpm_magazine @tomallenstevens @lucy_delap this could help for starters cane can also have a lot of secondary effects (runoff into coral reefs deforestation child labour) or be heavily subsidised 🇺🇸 ) would recommend reading @tom_clarke threads if interested https://tco/t3rdugq2y3,thelostbeaver,"🇬🇧 farmer growing traceable barley for🍺, wheat for 🍪 and sugar beet for Silver Spoon 🍚. Newcastle Uni, BASIS Diploma, environmental stewardship.","Stamford, England",1384,2108,1090,2011-09-09 22:34:31,2021-02-11 07:07:52,0,3,[],http://pbs.twimg.com/media/Et7Xd2yWQAYE3bJ.jpg,deforestation -filter:retweets,{'🇺🇸'},{'neutral'},negative,-0.995206654071808
253236,1359761847520477187,"#olive trees are well recognised for their highly efficient use of water &amp; fertilisers

olive trees also have very limited negative impact from land-system change compared to other common oils such as palm &amp; soybean which have been associated with deforestation https://tco/qs43i81x4y",Olive_Wellness,"The Olive Wellness Institute is a science repository on the health and wellness benefits of olive products, which is all subject to extensive peer review.","Melbourne, Victoria",704,819,1021,2017-09-01 05:14:30,2021-02-11 07:11:02,1,1,"[{'text': 'Olive', 'indices': [0, 6]}]",http://pbs.twimg.com/media/Et7YMP6XMAIwOFL.jpg,deforestation -filter:retweets,,,negative,-0.7814479470252991
253231,1359764812763459585,results from new poll shows european leaders have strong public backing for a hard stance against deforestation before any ratification of the #eumercosur agreement 75% say no deal unless amazon #deforestation is stopped https://tco/heuxedckes https://tco/plpdaahgh0,TrulsGulowsen,"På lag med naturen. Pappa, samfunnsopptatt, sentralstyremedlem Miljø@partiet MDG, seniorrådgiver @regnskogfondet. Tidligere Greenpeace Norge. #klimasøksmål","Oslo, Norway",2278,6768,20393,2011-10-26 09:14:07,2021-02-11 07:22:49,1,5,"[{'text': 'EUMercosur', 'indices': [143, 154]}, {'text': 'deforestation', 'indices': [196, 210]}]",http://pbs.twimg.com/media/Et7a44xWYAA_Lgy.jpg,deforestation -filter:retweets,,,negative,-0.9543232321739196
253227,1359767200207278086,"plastic cups are above 50 microns and eaisly picked up by rag pickers due to high scrap value which is not the case with paper cups use of paper cups would lead to mass deforestation
@prakashjavdekar @pmoindia @myogiadityanath @nitiaayog @nsitharaman https://tco/tuorrieahz",RaviAro92096029,India first,"Kanpur, India",235,207,1787,2016-06-23 08:45:30,2021-02-11 07:32:18,1,3,[],http://pbs.twimg.com/media/Et7dDpCVcAAm8Dx.jpg,deforestation -filter:retweets,,,negative,-0.9955103397369384
253223,1359772528126918656,but besides deforestation how much carbon and diversity have been lost inside the #atlanticforest remnants we found pervasive losses representing on average 25−32% less biomass 23−31% fewer species and shifts up to 42% in species trait composition (4/10) https://tco/7dztzumnoo,treeco_db,"We support syntheses on Neotropical vegetation, focusing on extra-Amazonian Brazilian forests #science #biodiversity #ecology Tweets by Renato Lima.","São Paulo, Brasil",193,181,51,2018-02-27 20:06:00,2021-02-11 07:53:28,0,2,"[{'text': 'AtlanticForest', 'indices': [83, 98]}]",http://pbs.twimg.com/media/Et7erJTWYAI4SjA.jpg,deforestation -filter:retweets,,,negative,-0.998173713684082
253221,1359774216690798596,there is a lot of talk that would have you believe #palmoil plantations are still the main driver of deforestation in indonesia however the facts do not support this view get the real story here https://tco/brviqrz1qi https://tco/eltqe5olr9,GAR_Sinarmas,"We are a leading seed-to-shelf agribusiness, producing food and fuel for the present and future.",Singapore,423,1359,6454,2017-03-13 07:41:42,2021-02-11 08:00:11,0,0,"[{'text': 'palmoil', 'indices': [51, 59]}]",http://pbs.twimg.com/media/Et7jcYdWgAETxrc.jpg,deforestation -filter:retweets,,,negative,-0.9952479004859924
253213,1359782739076141056,@nydfassessment signed by over 200 governments companies financial institutions &amp; ngos in 2014 includes goal 2 - eliminate #deforestation from the production of agricultural commodities such as palm oil soy paper &amp; beef products by no later than 2020 https://tco/fu39ctfjz2 https://tco/2g712hbt5c,planet_tracker,Planet Tracker is a non-profit financial think tank aligning financial markets with a sustainable future #Sustainability #PlanetTracker #capitalmarket,"London, UK",1845,2048,2024,2019-04-24 17:28:50,2021-02-11 08:34:03,1,8,"[{'text': 'deforestation', 'indices': [130, 144]}]",http://pbs.twimg.com/media/Et7rMf-XcAkixho.jpg,deforestation -filter:retweets,,,negative,-0.9643660187721252
253208,1359786306394615808,"our new @yougov poll sends a clear message to european leaders: do not ratify the #mercosur trade deal unless amazon #deforestation stops
https://tco/duw2umq4rr https://tco/yrdvrilwj9",RainforestNORW,Tropical #forests & #biodiversity. #Indigenous & #forest peoples’ rights. #Climatechange. We support 60+ org. in 8 #rainforest countries. Norw: @Regnskogfondet,"Oslo, Norway",9026,15526,4083,2011-09-05 12:38:03,2021-02-11 08:48:13,8,13,"[{'text': 'Mercosur', 'indices': [82, 91]}, {'text': 'deforestation', 'indices': [117, 131]}]",http://pbs.twimg.com/media/Et7t-RnXEAM7AJL.jpg,deforestation -filter:retweets,,,negative,-0.989227056503296
253204,1359788217365585925,"""deforestation is stressing mammals out""

read this news story and others via inside ecology's round-up

https://tco/apaql62hse https://tco/kv0slf5au3",InsideEcology,"Inside Ecology is an online magazine for Ecologists, Conservationists and Wildlife Professionals.",,509,759,1768,2017-03-27 16:34:55,2021-02-11 08:55:49,0,0,[],http://pbs.twimg.com/media/Et7wKw9XUAI9HOM.jpg,deforestation -filter:retweets,,,negative,-0.9260208606719972
253202,1359788842639888384,@ghgguru @cynfab3 @ltdsgn @ourcowmolly @oatlyuk @hybucigcymru @nfutweets agree there is no point displacing outdoor-living high quality welsh meat with deforestation-heavy produce but of course there is the option to simply eat less meat not being seen in aggregate in uk yet (but look at lamb) https://tco/enn45uq1ko https://tco/qx2vcrf8p1,WelshEcon,Professor of Economics. Like that's anything to shout about.,Adjacent,2350,3741,43743,2013-06-25 09:04:55,2021-02-11 08:58:18,0,0,[],http://pbs.twimg.com/media/Et7wlyZWgAAZexf.png,deforestation -filter:retweets,,,negative,-0.9923075437545776
253198,1359791377291255809,@junagarhmedia @climateguyw @profstrachan @techxplore_com vestas @vestas is responsible for this deforestation https://tco/m3vvizqm3z,Karmageddon67,"Focussing on the devastation to ecosystems & wildlife, & the earth’s biosphere, in the name of human population & GDP growth. Living on stolen megafauna land.",Murdochistan,3033,2920,146658,2014-07-07 12:05:48,2021-02-11 09:08:22,0,1,[],http://pbs.twimg.com/ext_tw_video_thumb/1359784819677306884/pu/img/EsJdhl_tifAE_jmD.jpg,deforestation -filter:retweets,,,negative,-0.9937164187431335
253197,1359791797812224005,join @wwfforestcarbon for a webinar 'redd+ learning session: spotlight on deforestation fronts: drivers of and solutions to #deforestation around the world' on february 16 at 08:00 est/14:00 cet register here -&gt;  https://tco/lsb624fwir https://tco/93iqlk9xjk,PCLG_IIED,"PCLG is an international network led by @iied that cares about #conservation, #wellbeing, #governance & #equity - #justice
Tweets by @LivW_H & @BookerFrancesca","London, England",1692,1270,2504,2017-04-18 10:03:31,2021-02-11 09:10:02,0,0,"[{'text': 'deforestation', 'indices': [124, 138]}]",http://pbs.twimg.com/media/Et7zbzJXcAAdRPL.jpg,deforestation -filter:retweets,,,negative,-0.9524788856506348
253196,1359791824953634818,"@georgemonbiot ""latvia's growing stock in the past decade has increased by 32million m3 - or 5% - to a total of 679million m3 in 2019""

the big picture is not one of deforestation but sustainable forest management

please see the below report for more

https://tco/29iyaqhrj1

(3/3) https://tco/9ncypttdzb",Biomass_UK_REA,"Biomass UK represents around 200 owners, operators, suppliers and contractors in the UK's biomass power supply chain. Part of the @REAssociation.",United Kingdom,1126,2278,1469,2013-01-25 15:52:08,2021-02-11 09:10:09,0,2,[],http://pbs.twimg.com/media/Et7yfBpXYAA8OmX.png,deforestation -filter:retweets,,,negative,-0.9370175004005432
253192,1359797846111887361,maybe this is a picture of deforestation https://tco/homxut1ygv,nicepicturebot,"despite the warm demeanor, it’s all artificial intelligence here!",,0,14,6157,2018-12-24 23:10:53,2021-02-11 09:34:04,0,0,[],http://pbs.twimg.com/media/Et74726XcAEimeq.jpg,deforestation -filter:retweets,,,negative,-0.9979238510131836
253188,1359799349702705153,"doesn't green looks awesome 😍
rate of deforestation should not be more than rate of reforestation
let's us cover our surrounding with urban dense forest
either it's your kitchen or terrace trust me this green friend will keep you always happy
#green #climatechange #us #eu https://tco/ooutvjn5os",RohitForIndia,"Proud Hardcore Nationalist, working Committee Member of BEA and EAI
Columnist for Policy on Climate change and Politics.

Digital Marketer by profession",New Delhi,1927,1502,3703,2012-12-05 16:13:41,2021-02-11 09:40:03,0,2,"[{'text': 'Green', 'indices': [247, 253]}, {'text': 'ClimateChange', 'indices': [254, 268]}, {'text': 'US', 'indices': [269, 272]}, {'text': 'EU', 'indices': [273, 276]}]",http://pbs.twimg.com/media/Et76TX1XcAAa_bU.jpg,deforestation -filter:retweets,{'😍'},{'positive'},negative,0.9976834058761596
253187,1359801669014466562,💬madelaine y alfelor-gazman  mayor of iriga &amp; uclg treasurer emphasizes the potential of supporting local farmers to attain sustainable food security under the context of a circular economy which contributes to halting deforestation and supports communities🙌 https://tco/pcgteuuths,uclg_org,"United Cities and Local Governments is the global network representing the interests of #LocalGov&regions on the world stage
#CitiesAreListening #Local4Action",World,4972,36000,43147,2011-03-24 10:54:12,2021-02-11 09:49:16,4,4,[],http://pbs.twimg.com/media/Et777odXMAAAQjf.png,deforestation -filter:retweets,"{'🙌', '💬'}",{'neutral'},negative,0.9883096218109132
253182,1359806994144759808,what are the effects of deforestation we have been finding out in 2e #arborprojects @arbordubai https://tco/rksmqlnhng,ArborYear2,"Year 2 at @ArborDubai, an ecological school based on the National Curriculum for England, for children from FS1 to Year 7 (Year 8 is opening in September 2020).","Dubai, United Arab Emirates",32,141,578,2019-02-12 12:23:42,2021-02-11 10:10:26,0,0,"[{'text': 'arborprojects', 'indices': [71, 85]}]",http://pbs.twimg.com/ext_tw_video_thumb/1359806618788110348/pu/img/sWX9eNZS-hZO2zzb.jpg,deforestation -filter:retweets,,,negative,-0.991357445716858
253180,1359808028032200704,meet @owensecology - giselle is doing her phd on swift #parrots logging and sugar gliders her research is going to crack open knowledge of how deforestation affects the survival of swift parrots 💪🏽 4/n https://tco/3ls7yjsr2e,teamswiftparrot,"Dr Dejan Stojanovic at #ANU. More research needed to determine if it's the birds or the me that is difficult 
🏳️‍🌈 he/him",Tasmania/ACT,738,9643,30251,2014-10-23 08:30:49,2021-02-11 10:14:32,7,26,"[{'text': 'parrots', 'indices': [55, 63]}]",http://pbs.twimg.com/media/Et8CLOeVIAIk4IH.jpg,deforestation -filter:retweets,{'💪'},{'positive'},negative,0.9988974332809448
253177,1359809493538807818,"#deforestation #andolanjeevi #chamoli #chamoliglacierburst ""what we are doing to the forests of the world is but a mirror reflection of what we are doing to ourselves and to one another"" https://tco/jngefh7uxm",Brianowhere,"In the end the only real meaning there is in anything is the meaning you find within yourself, often about yourself.","Devlali, India",32,24,463,2009-10-03 10:57:31,2021-02-11 10:20:21,0,0,"[{'text': 'deforestation', 'indices': [0, 14]}, {'text': 'andolanjeevi', 'indices': [15, 28]}, {'text': 'Chamoli', 'indices': [29, 37]}, {'text': 'ChamoliGlacierBurst', 'indices': [38, 58]}]",http://pbs.twimg.com/media/Et8Byj7U0AAkn8i.png,deforestation -filter:retweets,,,negative,-0.8594266176223755
253172,1359811920824471557,"growing sugar cane a key ingredient for fizzy drinks is a major contributor to deforestation

be kind to the soil and #gofizzfree this february &gt;&gt; https://tco/c0a5yt4l8o 

@sugarsmartuk #fizzfreefeb
@somersetcouncil @oneyousomerset https://tco/pvt05aj0a2",ZingSomerset,Have you lost your Zing?  Zing Somerset will help you to get it back! We're here to help you live and ENJOY your healthy lifestyles - however that may be.,Somerset,287,488,1320,2011-10-19 11:36:49,2021-02-11 10:30:00,0,0,"[{'text': 'GoFizzFree', 'indices': [121, 132]}, {'text': 'FizzFreeFeb', 'indices': [196, 208]}]",http://pbs.twimg.com/media/Es0BGbFXUAA_-zX.jpg,deforestation -filter:retweets,,,negative,-0.9923838973045348
253163,1359819657637748736,"meet our leather emma clutch named after and worn by eco-fashion icon @emmawatson this chic box bag is made from zero deforestation leather choose this gorgeous red edition as a lunar new year treat red being a lucky colour: https://tco/rcprprjfvs
-
#lunarnewyear #emmawatson https://tco/av0v46cc9o",Bottletoppers,"Artisanal craftsmanship & timeless, sustainable design.",London,1377,2073,2565,2009-03-10 12:20:06,2021-02-11 11:00:45,0,2,"[{'text': 'lunarnewyear', 'indices': [255, 268]}, {'text': 'emmawatson', 'indices': [269, 280]}]",http://pbs.twimg.com/media/Et8MxcMXcAUmJZu.jpg,deforestation -filter:retweets,,,negative,0.9694356322288512
253162,1359819922143084545,this member of class 3 made a super gods eye for mrs g’s art lesson sent in a brilliant video of their deforestation speech and had been doing extra maths too #lockdownlegend https://tco/bqejfwidrj,cp_class3,Class 3 at Calder Primary School,,4,85,655,2016-08-25 23:54:30,2021-02-11 11:01:48,0,2,"[{'text': 'LockdownLegend', 'indices': [161, 176]}]",http://pbs.twimg.com/media/Et8NAsyWQAEmMa8.jpg,deforestation -filter:retweets,,,negative,-0.9621499180793762
253158,1359821529786286080,growing sugar cane a key ingredient for fizzy drinks is a major contributor to deforestation be kind to the soil to your health and the planet's health and #gofizzfree this february find out more at https://tco/lod1uoybgn and enjoy yourself a #fizzfreefeb @sugarsmartuk https://tco/yezif9aiit,Menvcity,"An independent charity, based in Middlesbrough, championing the One Planet Living approach. From small seeds grow mighty trees. Proud #ClimateFundUK recipients.",Middlesbrough,180,1051,3959,2011-06-22 18:53:05,2021-02-11 11:08:11,0,2,"[{'text': 'GoFizzFree', 'indices': [160, 171]}, {'text': 'FizzFreeFeb', 'indices': [249, 261]}]",http://pbs.twimg.com/media/Et8N02nXMAEWsum.jpg,deforestation -filter:retweets,,,negative,0.774553120136261
253156,1359823291855360000,growing sugar cane a key ingredient for fizzy drinks is a major contributor to deforestation be kind to the soil and #gofizzfree this february &gt;&gt; https://tco/aw8eonctf2 @sugarsmartuk #fizzfreefeb https://tco/bgmvt87qbk,RochdaleCouncil,"News, events and emergency information. Monitored weekdays, 9am-5pm.   

https://t.co/b2vIOXWKyp","Greater Manchester, UK",1025,22036,35263,2009-02-10 15:37:29,2021-02-11 11:15:11,3,3,"[{'text': 'GoFizzFree', 'indices': [120, 131]}, {'text': 'FizzFreeFeb', 'indices': [193, 205]}]",http://pbs.twimg.com/media/Et8QE-2XMAEa3zr.jpg,deforestation -filter:retweets,,,negative,-0.9913941025733948
253151,1359827199692521474,"according to @bbc palm oil production is said to have been responsible for about 8% of the world’s deforestation between 1990 and 2008 

find out more about palm oil and its impact: https://tco/hm1cedht83

#palmoil #deforestation #oilproduction https://tco/vjdbsnijc7",projectearthly,A natural revolution led by the world’s most progressive businesses to create a climate positive world,Planet Earth,158,223,85,2018-06-14 14:19:41,2021-02-11 11:30:43,10,7,"[{'text': 'PalmOil', 'indices': [209, 217]}, {'text': 'Deforestation', 'indices': [218, 232]}, {'text': 'OilProduction', 'indices': [233, 247]}]",http://pbs.twimg.com/media/Et8ToRrXEAU25Ws.jpg,deforestation -filter:retweets,,,negative,-0.9625632762908936
253147,1359828110057689090,"cartoon by @namalamarasing 

#lka #srilanka #deforestation https://tco/kce411e8fm",cartoonlka,- A picture speaks a thousand words. But a cartoon tells even more - Collection of Political Cartoons in #SriLanka #lka #cartoon #Politics,Sri Lanka,24,11820,14058,2015-08-21 06:09:43,2021-02-11 11:34:20,5,20,"[{'text': 'lka', 'indices': [29, 33]}, {'text': 'SriLanka', 'indices': [34, 43]}, {'text': 'deforestation', 'indices': [44, 58]}]",http://pbs.twimg.com/media/Et8UZrpUUAIU_fW.jpg,deforestation -filter:retweets,,,negative,-0.9968626499176024
253143,1359832883284881411,planting a tree is simpler than reversing the effects of deforestation period https://tco/yxm2bsdioe,NakabuyeHildaF,"Founder @Fridays4FutureU, 
Climate and Environmental Rights Activist because we are humans who don't deserve to suffer a crisis we didn't create.",Uganda,1177,12757,4692,2017-10-09 14:34:14,2021-02-11 11:53:18,23,112,[],http://pbs.twimg.com/media/Et8YocIXYAIWo-z.jpg,deforestation -filter:retweets,,,negative,-0.6667304635047913
253140,1359836840879079424,"📢eu public opposes #eumercosur trade deal‼️
a recent survey shows: public demands #amazon #deforestation to stop prior to the deal in germany 47% of respondents “totally agree” with the call to halt the agreement unless deforestation is stopped  
👉 https://tco/azztk4a6un https://tco/d81poxjb11",ClimatAlliance,European municipalities in partnership with indigenous peoples – taking local action on global climate change,,899,2845,3856,2013-09-27 08:35:41,2021-02-11 12:09:02,0,0,"[{'text': 'EUMercosur', 'indices': [19, 30]}, {'text': 'Amazon', 'indices': [82, 89]}, {'text': 'deforestation', 'indices': [90, 104]}]",http://pbs.twimg.com/media/Et8cZpZXEAE-5n3.jpg,deforestation -filter:retweets,"{'👉', '‼️', '📢'}",{'neutral'},negative,-0.962107002735138
253130,1359842516049170434,amazon deforestation: government to focus on 11 critical municipalities says brazil’s vice-president https://tco/tkeswemmhq https://tco/famexqlhh7,AndyVermaut,"Account of the multidimensional human rights activist Andy Vermaut - for media and work as speaker for events, contact me via Whatsapp-message on +32499357495","Diksmuide, België",26629,30724,1027337,2011-04-17 16:39:35,2021-02-11 12:31:35,0,0,[],http://pbs.twimg.com/media/Et8hj-CU0AUWIlA.jpg,deforestation -filter:retweets,,,negative,-0.9813016653060912
253123,1359853160152641536,"and we are on
deforestation: which strategies seizing the available tools for the #eu to develop winning strategies to halt deforestation #zerodeforestation https://tco/xuuzrb87sd",FarmEurope,Farm Europe is a multicultural think tank that aims to stimulate thinking on rural economies. #thinktank #agriculture #food #environment #debate,"Bruxelles, Belgique",496,3275,2197,2015-01-16 21:29:40,2021-02-11 13:13:52,2,6,"[{'text': 'EU', 'indices': [84, 87]}, {'text': 'ZeroDeforestation', 'indices': [140, 158]}]",http://pbs.twimg.com/media/Et8qdhqXcAUqBcX.jpg,deforestation -filter:retweets,,,negative,-0.7261154055595398
253118,1359858537053057025,dead epidemiologists is book revealing the hidden-in-plain-sight truth behind the pandemic: global capital drove the deforestation and development that exposed us to new pathogens rob wallace et al unpack the material and conceptual origins of covid-19: https://tco/c6btnfuw6v https://tco/7ahpbexfqt,RaggedTalks,Ragged University is about updating the Ragged Schools movement with Higher Education. We get together and share our knowledge in public spaces everyone owns,United Kingdom,9189,9687,19991,2010-08-18 09:11:00,2021-02-11 13:35:14,1,0,[],http://pbs.twimg.com/media/Et8wHBYVcAIOSfq.jpg,deforestation -filter:retweets,,,negative,-0.9892637133598328
253107,1359866559838253056,françois lombard of @airbus underlined that tools such as #satellites 🛰️ are available and have already shown their efficiency in giving reliable data alerts and monitoring of #deforestation as they not only focus on deforested areas but also on the drivers of it https://tco/4r27pw6xvr,FarmEurope,Farm Europe is a multicultural think tank that aims to stimulate thinking on rural economies. #thinktank #agriculture #food #environment #debate,"Bruxelles, Belgique",496,3275,2197,2015-01-16 21:29:40,2021-02-11 14:07:07,0,1,"[{'text': 'satellites', 'indices': [58, 69]}, {'text': 'deforestation', 'indices': [177, 191]}]",http://pbs.twimg.com/media/Et82u6lXMAIt8Hr.jpg,deforestation -filter:retweets,{'🛰️'},{'neutral'},negative,-0.9285497665405272
253101,1359868455097401356,the last speaker of the first panel was @bastiensachet of @earthwormglobal who mentioned that the key question is how to monitor and control #deforestation happening on the ground hence why the ambitious collaboration of #starling has been set up to reach #zerodeforestation https://tco/yokhhahlid,FarmEurope,Farm Europe is a multicultural think tank that aims to stimulate thinking on rural economies. #thinktank #agriculture #food #environment #debate,"Bruxelles, Belgique",496,3275,2197,2015-01-16 21:29:40,2021-02-11 14:14:39,0,1,"[{'text': 'deforestation', 'indices': [142, 156]}, {'text': 'Starling', 'indices': [223, 232]}, {'text': 'ZeroDeforestation', 'indices': [258, 276]}]",http://pbs.twimg.com/media/Et84PwdWQAoCifd.jpg,deforestation -filter:retweets,,,negative,-0.98505961894989
253098,1359869589103009796,"@geraldkutney doesn't stop you dr kutney you are a expert in sulphur &amp; business solutions that promote biomass burning increased emissions and deforestation that is your debunked pseudoscientific ""innovation"" lumber industry greenwashing totally driven by greed #climatechange https://tco/lnhqiqchds",WolfredNelson,Anglo-Rebel with the people of Quebec's interests at heart. Patriote; doctor; distillery owner; vindicated Mayor of Montreal. Living the winning conditions.,"Montreal, Lower Canada",3310,1126,23585,2011-06-09 18:09:50,2021-02-11 14:19:09,0,0,"[{'text': 'climatechange', 'indices': [273, 287]}]",http://pbs.twimg.com/media/Et86KDcXEAAGAjB.jpg,deforestation -filter:retweets,,,negative,0.6280579566955566
253089,1359872346245496833,"wangari maathai was the first african woman to win 
@nobelprize she started the green belt movement to counter deforestation the movement also encouraged women to think ecologically &amp; plant #trees in their local environments to date gbm has spread to other #african nations https://tco/axfdzmcgvb",sophieokolo,"Science Writer #HealthTech #bioinformatics
Contributor @Forbes, Research @TEDMED
Byline @Salon @MarketWatch @NextAvenue &c
Founder @GHealthAging Host #GHASeries",,7752,9893,3653,2014-06-22 01:44:06,2021-02-11 14:30:07,0,3,"[{'text': 'trees', 'indices': [195, 201]}, {'text': 'African', 'indices': [264, 272]}]",http://pbs.twimg.com/media/Et88ra8XIAMluCM.png,deforestation -filter:retweets,,,negative,0.9950005412101746
